Cooler Name,Site Name,Door,Light Intensity,Temperature (°C),Smart Tag Serial Number,Event Date
QA-Cooler1-5April,Dev Site,Double,0,22.21,0008-0549,4/29/2019 4:26
QA-Cooler2-5April,Dev Site,Double,6,6.99,0008-0509,4/29/2019 4:25
QA-Cooler1-5April,Dev Site,Double,0,21.93,573,4/29/2019 4:23
QA-Cooler2-5April,Dev Site,Double,7,6.29,0008-0486,4/29/2019 4:22
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/29/2019 3:58
QA-Cooler1-5April,Dev Site,Double,0,22.16,0008-0549,4/29/2019 3:56
QA-Cooler2-5April,Dev Site,Double,6,7.12,0008-0509,4/29/2019 3:55
QA-Cooler1-5April,Dev Site,Double,0,21.87,573,4/29/2019 3:53
QA-Cooler2-5April,Dev Site,Double,7,6.11,0008-0486,4/29/2019 3:52
QA-Cooler3-5April,Dev Site,Double,0,22.3,80152,4/29/2019 3:28
QA-Cooler1-5April,Dev Site,Double,0,22.18,0008-0549,4/29/2019 3:26
QA-Cooler2-5April,Dev Site,Double,6,7.07,0008-0509,4/29/2019 3:25
QA-Cooler1-5April,Dev Site,Double,0,21.97,573,4/29/2019 3:23
QA-Cooler2-5April,Dev Site,Double,8,5.92,0008-0486,4/29/2019 3:22
QA-Cooler3-5April,Dev Site,Double,0,22.32,80152,4/29/2019 2:58
QA-Cooler1-5April,Dev Site,Double,0,22.21,0008-0549,4/29/2019 2:56
QA-Cooler2-5April,Dev Site,Double,6,6.85,0008-0509,4/29/2019 2:55
QA-Cooler1-5April,Dev Site,Double,0,22.04,573,4/29/2019 2:53
QA-Cooler2-5April,Dev Site,Double,7,5.68,0008-0486,4/29/2019 2:52
QA-Cooler3-5April,Dev Site,Double,0,22.32,80152,4/29/2019 2:28
QA-Cooler1-5April,Dev Site,Double,0,22.23,0008-0549,4/29/2019 2:26
QA-Cooler2-5April,Dev Site,Double,6,6.66,0008-0509,4/29/2019 2:25
QA-Cooler1-5April,Dev Site,Double,0,22.05,573,4/29/2019 2:23
QA-Cooler2-5April,Dev Site,Double,7,5.61,0008-0486,4/29/2019 2:22
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/29/2019 1:58
QA-Cooler1-5April,Dev Site,Double,0,22.18,0008-0549,4/29/2019 1:56
QA-Cooler2-5April,Dev Site,Double,6,6.5,0008-0509,4/29/2019 1:55
QA-Cooler1-5April,Dev Site,Double,0,21.97,573,4/29/2019 1:53
QA-Cooler2-5April,Dev Site,Double,7,5.85,0008-0486,4/29/2019 1:52
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/29/2019 1:28
QA-Cooler1-5April,Dev Site,Double,0,22.21,0008-0549,4/29/2019 1:26
QA-Cooler2-5April,Dev Site,Double,6,6.54,0008-0509,4/29/2019 1:25
QA-Cooler1-5April,Dev Site,Double,0,22.04,573,4/29/2019 1:23
QA-Cooler2-5April,Dev Site,Double,7,6.07,0008-0486,4/29/2019 1:22
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/29/2019 0:58
QA-Cooler1-5April,Dev Site,Double,0,22.21,0008-0549,4/29/2019 0:56
QA-Cooler2-5April,Dev Site,Double,6,6.62,0008-0509,4/29/2019 0:55
QA-Cooler1-5April,Dev Site,Double,0,22.01,573,4/29/2019 0:53
QA-Cooler2-5April,Dev Site,Double,7,6.26,0008-0486,4/29/2019 0:52
QA-Cooler3-5April,Dev Site,Double,0,22.25,80152,4/29/2019 0:28
QA-Cooler1-5April,Dev Site,Double,0,22.11,0008-0549,4/29/2019 0:26
QA-Cooler2-5April,Dev Site,Double,6,6.92,0008-0509,4/29/2019 0:25
QA-Cooler1-5April,Dev Site,Double,0,21.81,573,4/29/2019 0:23
QA-Cooler2-5April,Dev Site,Double,7,6.38,0008-0486,4/29/2019 0:22
QA-Cooler3-5April,Dev Site,Double,0,22.17,80152,4/28/2019 23:58
QA-Cooler1-5April,Dev Site,Double,0,21.99,0008-0549,4/28/2019 23:56
QA-Cooler2-5April,Dev Site,Double,6,7.03,0008-0509,4/28/2019 23:55
QA-Cooler1-5April,Dev Site,Double,0,21.7,573,4/28/2019 23:53
QA-Cooler2-5April,Dev Site,Double,7,6.26,0008-0486,4/28/2019 23:52
QA-Cooler3-5April,Dev Site,Double,0,22.12,80152,4/28/2019 23:28
QA-Cooler1-5April,Dev Site,Double,0,21.94,0008-0549,4/28/2019 23:26
QA-Cooler2-5April,Dev Site,Double,6,7.03,0008-0509,4/28/2019 23:25
QA-Cooler1-5April,Dev Site,Double,0,21.65,573,4/28/2019 23:23
QA-Cooler2-5April,Dev Site,Double,7,6.08,0008-0486,4/28/2019 23:22
QA-Cooler3-5April,Dev Site,Double,0,21.91,80152,4/28/2019 22:58
QA-Cooler1-5April,Dev Site,Double,0,21.84,0008-0549,4/28/2019 22:56
QA-Cooler2-5April,Dev Site,Double,6,7.04,0008-0509,4/28/2019 22:55
QA-Cooler1-5April,Dev Site,Double,0,21.6,573,4/28/2019 22:53
QA-Cooler2-5April,Dev Site,Double,7,5.9,0008-0486,4/28/2019 22:52
QA-Cooler3-5April,Dev Site,Double,0,21.96,80152,4/28/2019 22:28
QA-Cooler1-5April,Dev Site,Double,0,21.88,0008-0549,4/28/2019 22:26
QA-Cooler2-5April,Dev Site,Double,6,6.86,0008-0509,4/28/2019 22:25
QA-Cooler1-5April,Dev Site,Double,0,21.62,573,4/28/2019 22:23
QA-Cooler2-5April,Dev Site,Double,7,5.72,0008-0486,4/28/2019 22:22
QA-Cooler3-5April,Dev Site,Double,0,22.03,80152,4/28/2019 21:58
QA-Cooler1-5April,Dev Site,Double,0,22.01,0008-0549,4/28/2019 21:56
QA-Cooler2-5April,Dev Site,Double,6,6.69,0008-0509,4/28/2019 21:55
QA-Cooler1-5April,Dev Site,Double,0,21.81,573,4/28/2019 21:53
QA-Cooler2-5April,Dev Site,Double,7,5.66,0008-0486,4/28/2019 21:52
QA-Cooler3-5April,Dev Site,Double,0,22.21,80152,4/28/2019 21:28
QA-Cooler1-5April,Dev Site,Double,0,22.24,0008-0549,4/28/2019 21:26
QA-Cooler2-5April,Dev Site,Double,6,6.52,0008-0509,4/28/2019 21:25
QA-Cooler1-5April,Dev Site,Double,0,22.05,573,4/28/2019 21:23
QA-Cooler2-5April,Dev Site,Double,8,5.68,0008-0486,4/28/2019 21:22
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/28/2019 20:58
QA-Cooler1-5April,Dev Site,Double,0,22.24,0008-0549,4/28/2019 20:56
QA-Cooler2-5April,Dev Site,Double,6,6.52,0008-0509,4/28/2019 20:55
QA-Cooler1-5April,Dev Site,Double,0,21.96,573,4/28/2019 20:53
QA-Cooler2-5April,Dev Site,Double,7,5.96,0008-0486,4/28/2019 20:52
QA-Cooler3-5April,Dev Site,Double,0,22.32,80152,4/28/2019 20:28
QA-Cooler1-5April,Dev Site,Double,0,22.3,0008-0549,4/28/2019 20:26
QA-Cooler2-5April,Dev Site,Double,6,6.66,0008-0509,4/28/2019 20:25
QA-Cooler1-5April,Dev Site,Double,0,22.11,573,4/28/2019 20:23
QA-Cooler2-5April,Dev Site,Double,7,6.2,0008-0486,4/28/2019 20:22
QA-Cooler3-5April,Dev Site,Double,0,22.42,80152,4/28/2019 19:58
QA-Cooler1-5April,Dev Site,Double,0,22.32,0008-0549,4/28/2019 19:56
QA-Cooler2-5April,Dev Site,Double,6,6.86,0008-0509,4/28/2019 19:55
QA-Cooler1-5April,Dev Site,Double,0,21.97,573,4/28/2019 19:53
QA-Cooler2-5April,Dev Site,Double,7,6.27,0008-0486,4/28/2019 19:52
QA-Cooler3-5April,Dev Site,Double,0,22.51,80152,4/28/2019 19:28
QA-Cooler1-5April,Dev Site,Double,0,22.36,0008-0549,4/28/2019 19:26
QA-Cooler2-5April,Dev Site,Double,6,7.1,0008-0509,4/28/2019 19:25
QA-Cooler1-5April,Dev Site,Double,0,22.07,573,4/28/2019 19:23
QA-Cooler2-5April,Dev Site,Double,7,6.17,0008-0486,4/28/2019 19:22
QA-Cooler3-5April,Dev Site,Double,0,22.44,80152,4/28/2019 18:58
QA-Cooler1-5April,Dev Site,Double,0,22.3,0008-0549,4/28/2019 18:56
QA-Cooler2-5April,Dev Site,Double,6,7.11,0008-0509,4/28/2019 18:55
QA-Cooler1-5April,Dev Site,Double,0,22.01,573,4/28/2019 18:53
QA-Cooler2-5April,Dev Site,Double,7,6.11,0008-0486,4/28/2019 18:52
QA-Cooler2-5April,Dev Site,Double,7,5.93,0008-0486,4/28/2019 18:22
QA-Cooler3-5April,Dev Site,Double,0,22.42,80152,4/28/2019 17:28
QA-Cooler2-5April,Dev Site,Double,6,6.7,0008-0509,4/28/2019 17:25
QA-Cooler2-5April,Dev Site,Double,7,5.58,0008-0486,4/28/2019 17:22
QA-Cooler3-5April,Dev Site,Double,0,22.49,80152,4/28/2019 16:58
QA-Cooler1-5April,Dev Site,Double,0,22.39,0008-0549,4/28/2019 16:56
QA-Cooler2-5April,Dev Site,Double,6,6.57,0008-0509,4/28/2019 16:55
QA-Cooler1-5April,Dev Site,Double,0,22.19,573,4/28/2019 16:53
QA-Cooler2-5April,Dev Site,Double,7,5.74,0008-0486,4/28/2019 16:52
QA-Cooler3-5April,Dev Site,Double,0,22.42,80152,4/28/2019 16:28
QA-Cooler1-5April,Dev Site,Double,0,22.39,0008-0549,4/28/2019 16:26
QA-Cooler2-5April,Dev Site,Double,6,6.52,0008-0509,4/28/2019 16:25
QA-Cooler1-5April,Dev Site,Double,0,22.22,573,4/28/2019 16:23
QA-Cooler2-5April,Dev Site,Double,8,5.92,0008-0486,4/28/2019 16:22
QA-Cooler3-5April,Dev Site,Double,1,22.67,80152,4/28/2019 15:58
QA-Cooler1-5April,Dev Site,Double,0,22.62,0008-0549,4/28/2019 15:56
QA-Cooler2-5April,Dev Site,Double,6,6.59,0008-0509,4/28/2019 15:55
QA-Cooler1-5April,Dev Site,Double,0,22.34,573,4/28/2019 15:53
QA-Cooler2-5April,Dev Site,Double,7,6.09,0008-0486,4/28/2019 15:52
QA-Cooler3-5April,Dev Site,Double,1,22.69,80152,4/28/2019 15:28
QA-Cooler1-5April,Dev Site,Double,0,22.55,0008-0549,4/28/2019 15:26
QA-Cooler2-5April,Dev Site,Double,6,6.93,0008-0509,4/28/2019 15:25
QA-Cooler1-5April,Dev Site,Double,0,22.19,573,4/28/2019 15:23
QA-Cooler2-5April,Dev Site,Double,7,6.35,0008-0486,4/28/2019 15:22
QA-Cooler3-5April,Dev Site,Double,4,22.62,80152,4/28/2019 14:58
QA-Cooler1-5April,Dev Site,Double,0,22.49,0008-0549,4/28/2019 14:56
QA-Cooler2-5April,Dev Site,Double,6,7.17,0008-0509,4/28/2019 14:55
QA-Cooler1-5April,Dev Site,Double,0,22.16,573,4/28/2019 14:53
QA-Cooler2-5April,Dev Site,Double,7,6.19,0008-0486,4/28/2019 14:52
QA-Cooler3-5April,Dev Site,Double,5,22.61,80152,4/28/2019 14:28
QA-Cooler1-5April,Dev Site,Double,0,22.48,0008-0549,4/28/2019 14:26
QA-Cooler2-5April,Dev Site,Double,6,7.12,0008-0509,4/28/2019 14:25
QA-Cooler1-5April,Dev Site,Double,0,22.2,573,4/28/2019 14:23
QA-Cooler2-5April,Dev Site,Double,7,5.94,0008-0486,4/28/2019 14:22
QA-Cooler3-5April,Dev Site,Double,7,22.55,80152,4/28/2019 13:58
QA-Cooler1-5April,Dev Site,Double,0,22.46,0008-0549,4/28/2019 13:56
QA-Cooler2-5April,Dev Site,Double,6,6.88,0008-0509,4/28/2019 13:55
QA-Cooler1-5April,Dev Site,Double,0,22.16,573,4/28/2019 13:53
QA-Cooler2-5April,Dev Site,Double,7,5.68,0008-0486,4/28/2019 13:52
QA-Cooler3-5April,Dev Site,Double,10,22.56,80152,4/28/2019 13:28
QA-Cooler1-5April,Dev Site,Double,1,22.52,0008-0549,4/28/2019 13:26
QA-Cooler2-5April,Dev Site,Double,6,6.7,0008-0509,4/28/2019 13:25
QA-Cooler1-5April,Dev Site,Double,0,22.24,573,4/28/2019 13:23
QA-Cooler2-5April,Dev Site,Double,7,5.67,0008-0486,4/28/2019 13:22
QA-Cooler3-5April,Dev Site,Double,11,22.58,80152,4/28/2019 12:58
QA-Cooler1-5April,Dev Site,Double,1,22.51,0008-0549,4/28/2019 12:56
QA-Cooler2-5April,Dev Site,Double,6,6.55,0008-0509,4/28/2019 12:55
QA-Cooler1-5April,Dev Site,Double,0,22.23,573,4/28/2019 12:53
QA-Cooler2-5April,Dev Site,Double,7,5.9,0008-0486,4/28/2019 12:52
QA-Cooler3-5April,Dev Site,Double,11,22.59,80152,4/28/2019 12:28
QA-Cooler1-5April,Dev Site,Double,2,22.49,0008-0549,4/28/2019 12:26
QA-Cooler2-5April,Dev Site,Double,6,6.66,0008-0509,4/28/2019 12:25
QA-Cooler1-5April,Dev Site,Double,0,22.14,573,4/28/2019 12:23
QA-Cooler2-5April,Dev Site,Double,8,6.27,0008-0486,4/28/2019 12:22
QA-Cooler3-5April,Dev Site,Double,12,22.52,80152,4/28/2019 11:58
QA-Cooler1-5April,Dev Site,Double,2,22.48,0008-0549,4/28/2019 11:56
QA-Cooler2-5April,Dev Site,Double,7,7.03,0008-0509,4/28/2019 11:55
QA-Cooler1-5April,Dev Site,Double,0,22.2,573,4/28/2019 11:53
QA-Cooler2-5April,Dev Site,Double,7,6.41,0008-0486,4/28/2019 11:52
QA-Cooler3-5April,Dev Site,Double,12,22.56,80152,4/28/2019 11:28
QA-Cooler1-5April,Dev Site,Double,2,22.39,0008-0549,4/28/2019 11:26
QA-Cooler2-5April,Dev Site,Double,6,7.12,0008-0509,4/28/2019 11:25
QA-Cooler1-5April,Dev Site,Double,0,22.05,573,4/28/2019 11:23
QA-Cooler2-5April,Dev Site,Double,8,6.23,0008-0486,4/28/2019 11:22
QA-Cooler3-5April,Dev Site,Double,10,22.46,80152,4/28/2019 10:58
QA-Cooler1-5April,Dev Site,Double,1,22.3,0008-0549,4/28/2019 10:56
QA-Cooler2-5April,Dev Site,Double,6,7.18,0008-0509,4/28/2019 10:55
QA-Cooler1-5April,Dev Site,Double,0,22,573,4/28/2019 10:53
QA-Cooler2-5April,Dev Site,Double,8,6.04,0008-0486,4/28/2019 10:52
QA-Cooler3-5April,Dev Site,Double,9,22.4,80152,4/28/2019 10:28
QA-Cooler1-5April,Dev Site,Double,0,22.32,0008-0549,4/28/2019 10:26
QA-Cooler2-5April,Dev Site,Double,6,6.99,0008-0509,4/28/2019 10:25
QA-Cooler1-5April,Dev Site,Double,0,22.08,573,4/28/2019 10:23
QA-Cooler2-5April,Dev Site,Double,7,5.81,0008-0486,4/28/2019 10:22
QA-Cooler3-5April,Dev Site,Double,8,22.38,80152,4/28/2019 9:58
QA-Cooler1-5April,Dev Site,Double,0,22.35,0008-0549,4/28/2019 9:56
QA-Cooler2-5April,Dev Site,Double,6,6.76,0008-0509,4/28/2019 9:55
QA-Cooler1-5April,Dev Site,Double,0,22.17,573,4/28/2019 9:53
QA-Cooler2-5April,Dev Site,Double,8,5.68,0008-0486,4/28/2019 9:52
QA-Cooler3-5April,Dev Site,Double,7,22.4,80152,4/28/2019 9:28
QA-Cooler1-5April,Dev Site,Double,0,22.33,0008-0549,4/28/2019 9:26
QA-Cooler2-5April,Dev Site,Double,6,6.63,0008-0509,4/28/2019 9:25
QA-Cooler1-5April,Dev Site,Double,0,22.12,573,4/28/2019 9:23
QA-Cooler2-5April,Dev Site,Double,7,5.76,0008-0486,4/28/2019 9:22
QA-Cooler3-5April,Dev Site,Double,5,22.4,80152,4/28/2019 8:58
QA-Cooler1-5April,Dev Site,Double,0,22.28,0008-0549,4/28/2019 8:56
QA-Cooler2-5April,Dev Site,Double,6,6.52,0008-0509,4/28/2019 8:55
QA-Cooler1-5April,Dev Site,Double,0,22.02,573,4/28/2019 8:53
QA-Cooler2-5April,Dev Site,Double,8,5.9,0008-0486,4/28/2019 8:52
QA-Cooler3-5April,Dev Site,Double,5,22.35,80152,4/28/2019 8:28
QA-Cooler1-5April,Dev Site,Double,0,22.24,0008-0549,4/28/2019 8:26
QA-Cooler2-5April,Dev Site,Double,6,6.55,0008-0509,4/28/2019 8:25
QA-Cooler1-5April,Dev Site,Double,0,21.95,573,4/28/2019 8:23
QA-Cooler2-5April,Dev Site,Double,7,6.17,0008-0486,4/28/2019 8:22
QA-Cooler3-5April,Dev Site,Double,2,22.28,80152,4/28/2019 7:58
QA-Cooler1-5April,Dev Site,Double,0,22.17,0008-0549,4/28/2019 7:56
QA-Cooler2-5April,Dev Site,Double,6,6.74,0008-0509,4/28/2019 7:55
QA-Cooler1-5April,Dev Site,Double,0,21.89,573,4/28/2019 7:53
QA-Cooler2-5April,Dev Site,Double,7,6.3,0008-0486,4/28/2019 7:52
QA-Cooler3-5April,Dev Site,Double,0,22.24,80152,4/28/2019 7:28
QA-Cooler1-5April,Dev Site,Double,0,22.12,0008-0549,4/28/2019 7:26
QA-Cooler2-5April,Dev Site,Double,6,6.97,0008-0509,4/28/2019 7:25
QA-Cooler1-5April,Dev Site,Double,0,21.86,573,4/28/2019 7:23
QA-Cooler2-5April,Dev Site,Double,7,6.3,0008-0486,4/28/2019 7:22
QA-Cooler3-5April,Dev Site,Double,0,22.18,80152,4/28/2019 6:58
QA-Cooler1-5April,Dev Site,Double,0,22.08,0008-0549,4/28/2019 6:56
QA-Cooler2-5April,Dev Site,Double,6,7.11,0008-0509,4/28/2019 6:55
QA-Cooler1-5April,Dev Site,Double,0,21.89,573,4/28/2019 6:53
QA-Cooler2-5April,Dev Site,Double,8,5.99,0008-0486,4/28/2019 6:52
QA-Cooler3-5April,Dev Site,Double,0,22.2,80152,4/28/2019 6:28
QA-Cooler1-5April,Dev Site,Double,0,22.03,0008-0549,4/28/2019 6:26
QA-Cooler2-5April,Dev Site,Double,6,6.96,0008-0509,4/28/2019 6:25
QA-Cooler1-5April,Dev Site,Double,0,21.77,573,4/28/2019 6:23
QA-Cooler2-5April,Dev Site,Double,7,5.78,0008-0486,4/28/2019 6:22
QA-Cooler3-5April,Dev Site,Double,0,22.17,80152,4/28/2019 5:58
QA-Cooler1-5April,Dev Site,Double,0,22.08,0008-0549,4/28/2019 5:56
QA-Cooler2-5April,Dev Site,Double,6,6.72,0008-0509,4/28/2019 5:55
QA-Cooler1-5April,Dev Site,Double,0,21.87,573,4/28/2019 5:53
QA-Cooler3-5April,Dev Site,Double,0,22.16,80152,4/28/2019 5:28
QA-Cooler1-5April,Dev Site,Double,0,22.11,0008-0549,4/28/2019 5:26
QA-Cooler2-5April,Dev Site,Double,6,6.57,0008-0509,4/28/2019 5:25
QA-Cooler1-5April,Dev Site,Double,0,21.89,573,4/28/2019 5:23
QA-Cooler2-5April,Dev Site,Double,7,5.64,0008-0486,4/28/2019 5:22
QA-Cooler3-5April,Dev Site,Double,0,22.21,80152,4/28/2019 4:28
QA-Cooler1-5April,Dev Site,Double,0,22.11,0008-0549,4/28/2019 4:26
QA-Cooler2-5April,Dev Site,Double,6,6.65,0008-0509,4/28/2019 4:25
QA-Cooler1-5April,Dev Site,Double,0,21.85,573,4/28/2019 4:23
QA-Cooler2-5April,Dev Site,Double,7,6.26,0008-0486,4/28/2019 4:22
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/28/2019 3:58
QA-Cooler1-5April,Dev Site,Double,0,22.13,0008-0549,4/28/2019 3:56
QA-Cooler2-5April,Dev Site,Double,6,6.88,0008-0509,4/28/2019 3:55
QA-Cooler1-5April,Dev Site,Double,0,21.83,573,4/28/2019 3:53
QA-Cooler2-5April,Dev Site,Double,7,6.33,0008-0486,4/28/2019 3:52
QA-Cooler3-5April,Dev Site,Double,0,22.33,80152,4/28/2019 3:28
QA-Cooler1-5April,Dev Site,Double,0,22.18,0008-0549,4/28/2019 3:26
QA-Cooler2-5April,Dev Site,Double,6,7.02,0008-0509,4/28/2019 3:25
QA-Cooler1-5April,Dev Site,Double,0,21.86,573,4/28/2019 3:23
QA-Cooler2-5April,Dev Site,Double,7,6.35,0008-0486,4/28/2019 3:22
QA-Cooler2-5April,Dev Site,Double,7,6.07,0008-0486,4/28/2019 2:52
QA-Cooler3-5April,Dev Site,Double,0,22.3,80152,4/28/2019 2:28
QA-Cooler1-5April,Dev Site,Double,0,22.18,0008-0549,4/28/2019 2:26
QA-Cooler2-5April,Dev Site,Double,6,7.02,0008-0509,4/28/2019 2:25
QA-Cooler1-5April,Dev Site,Double,0,21.95,573,4/28/2019 2:23
QA-Cooler2-5April,Dev Site,Double,7,5.84,0008-0486,4/28/2019 2:22
QA-Cooler3-5April,Dev Site,Double,0,22.12,80152,4/28/2019 1:28
QA-Cooler1-5April,Dev Site,Double,0,22.17,0008-0549,4/28/2019 1:26
QA-Cooler2-5April,Dev Site,Double,6,6.63,0008-0509,4/28/2019 1:25
QA-Cooler1-5April,Dev Site,Double,0,22.02,573,4/28/2019 1:23
QA-Cooler2-5April,Dev Site,Double,7,5.63,0008-0486,4/28/2019 1:22
QA-Cooler3-5April,Dev Site,Double,0,22.21,80152,4/28/2019 0:58
QA-Cooler1-5April,Dev Site,Double,0,22.18,0008-0549,4/28/2019 0:56
QA-Cooler2-5April,Dev Site,Double,6,6.48,0008-0509,4/28/2019 0:55
QA-Cooler1-5April,Dev Site,Double,0,22.02,573,4/28/2019 0:53
QA-Cooler2-5April,Dev Site,Double,8,5.82,0008-0486,4/28/2019 0:52
QA-Cooler3-5April,Dev Site,Double,0,22.23,80152,4/27/2019 23:58
QA-Cooler1-5April,Dev Site,Double,0,22.13,0008-0549,4/27/2019 23:56
QA-Cooler2-5April,Dev Site,Double,6,6.82,0008-0509,4/27/2019 23:55
QA-Cooler1-5April,Dev Site,Double,0,21.87,573,4/27/2019 23:53
QA-Cooler2-5April,Dev Site,Double,7,6.3,0008-0486,4/27/2019 23:52
QA-Cooler3-5April,Dev Site,Double,0,22.32,80152,4/27/2019 23:28
QA-Cooler1-5April,Dev Site,Double,0,22.13,0008-0549,4/27/2019 23:26
QA-Cooler2-5April,Dev Site,Double,6,7.02,0008-0509,4/27/2019 23:25
QA-Cooler1-5April,Dev Site,Double,0,21.81,573,4/27/2019 23:23
QA-Cooler2-5April,Dev Site,Double,7,6.23,0008-0486,4/27/2019 23:22
QA-Cooler3-5April,Dev Site,Double,0,22.24,80152,4/27/2019 22:58
QA-Cooler1-5April,Dev Site,Double,0,22.08,0008-0549,4/27/2019 22:56
QA-Cooler2-5April,Dev Site,Double,6,7.12,0008-0509,4/27/2019 22:55
