Cooler Name,Site Name,Door,Light Intensity,Temperature (°C),Smart Tag Serial Number,Event Date,
QA-Cooler1-5April,Dev Site,Double,0,21.93,0573,4/29/2019 4:23:01 AM,
QA-Cooler2-5April,Dev Site,Double,7,6.29,0008-0486,4/29/2019 4:22:23 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/29/2019 3:58:49 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.16,0008-0549,4/29/2019 3:56:42 AM,
QA-Cooler2-5April,Dev Site,Double,6,7.12,0008-0509,4/29/2019 3:55:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.87,0573,4/29/2019 3:53:01 AM,
QA-Cooler2-5April,Dev Site,Double,7,6.11,0008-0486,4/29/2019 3:52:23 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.3,80152,4/29/2019 3:28:48 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.18,0008-0549,4/29/2019 3:26:43 AM,
QA-Cooler2-5April,Dev Site,Double,6,7.07,0008-0509,4/29/2019 3:25:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.97,0573,4/29/2019 3:23:01 AM,
QA-Cooler2-5April,Dev Site,Double,8,5.92,0008-0486,4/29/2019 3:22:22 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.32,80152,4/29/2019 2:58:49 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.21,0008-0549,4/29/2019 2:56:42 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.85,0008-0509,4/29/2019 2:55:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.04,0573,4/29/2019 2:53:01 AM,
QA-Cooler2-5April,Dev Site,Double,7,5.68,0008-0486,4/29/2019 2:52:23 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.32,80152,4/29/2019 2:28:49 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.23,0008-0549,4/29/2019 2:26:43 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.66,0008-0509,4/29/2019 2:25:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.05,0573,4/29/2019 2:23:01 AM,
QA-Cooler2-5April,Dev Site,Double,7,5.61,0008-0486,4/29/2019 2:22:23 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/29/2019 1:58:49 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.18,0008-0549,4/29/2019 1:56:43 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.5,0008-0509,4/29/2019 1:55:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.97,0573,4/29/2019 1:53:02 AM,
QA-Cooler2-5April,Dev Site,Double,7,5.85,0008-0486,4/29/2019 1:52:23 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/29/2019 1:28:49 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.21,0008-0549,4/29/2019 1:26:42 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.54,0008-0509,4/29/2019 1:25:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.04,0573,4/29/2019 1:23:01 AM,
QA-Cooler2-5April,Dev Site,Double,7,6.07,0008-0486,4/29/2019 1:22:23 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/29/2019 12:58:49 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.21,0008-0549,4/29/2019 12:56:43 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.62,0008-0509,4/29/2019 12:55:13 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.01,0573,4/29/2019 12:53:02 AM,
QA-Cooler2-5April,Dev Site,Double,7,6.26,0008-0486,4/29/2019 12:52:24 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.25,80152,4/29/2019 12:28:49 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.11,0008-0549,4/29/2019 12:26:43 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.92,0008-0509,4/29/2019 12:25:13 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.81,0573,4/29/2019 12:23:02 AM,
QA-Cooler2-5April,Dev Site,Double,7,6.38,0008-0486,4/29/2019 12:22:24 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.17,80152,4/28/2019 11:58:50 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.99,0008-0549,4/28/2019 11:56:43 PM,
QA-Cooler2-5April,Dev Site,Double,6,7.03,0008-0509,4/28/2019 11:55:13 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.7,0573,4/28/2019 11:53:02 PM,
QA-Cooler2-5April,Dev Site,Double,7,6.26,0008-0486,4/28/2019 11:52:24 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.12,80152,4/28/2019 11:28:49 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.94,0008-0549,4/28/2019 11:26:43 PM,
QA-Cooler2-5April,Dev Site,Double,6,7.03,0008-0509,4/28/2019 11:25:13 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.65,0573,4/28/2019 11:23:02 PM,
QA-Cooler2-5April,Dev Site,Double,7,6.08,0008-0486,4/28/2019 11:22:24 PM,
QA-Cooler3-5April,Dev Site,Double,0,21.91,80152,4/28/2019 10:58:50 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.84,0008-0549,4/28/2019 10:56:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,7.04,0008-0509,4/28/2019 10:55:14 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.6,0573,4/28/2019 10:53:03 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.9,0008-0486,4/28/2019 10:52:24 PM,
QA-Cooler3-5April,Dev Site,Double,0,21.96,80152,4/28/2019 10:28:50 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.88,0008-0549,4/28/2019 10:26:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.86,0008-0509,4/28/2019 10:25:13 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.62,0573,4/28/2019 10:23:02 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.72,0008-0486,4/28/2019 10:22:24 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.03,80152,4/28/2019 9:58:50 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.01,0008-0549,4/28/2019 9:56:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.69,0008-0509,4/28/2019 9:55:13 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.81,0573,4/28/2019 9:53:02 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.66,0008-0486,4/28/2019 9:52:25 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.21,80152,4/28/2019 9:28:50 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.24,0008-0549,4/28/2019 9:26:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.52,0008-0509,4/28/2019 9:25:14 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.05,0573,4/28/2019 9:23:03 PM,
QA-Cooler2-5April,Dev Site,Double,8,5.68,0008-0486,4/28/2019 9:22:24 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.27,80152,4/28/2019 8:58:50 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.24,0008-0549,4/28/2019 8:56:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.52,0008-0509,4/28/2019 8:55:14 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.96,0573,4/28/2019 8:53:03 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.96,0008-0486,4/28/2019 8:52:24 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.32,80152,4/28/2019 8:28:50 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.3,0008-0549,4/28/2019 8:26:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.66,0008-0509,4/28/2019 8:25:14 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.11,0573,4/28/2019 8:23:03 PM,
QA-Cooler2-5April,Dev Site,Double,7,6.2,0008-0486,4/28/2019 8:22:25 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.42,80152,4/28/2019 7:58:51 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.32,0008-0549,4/28/2019 7:56:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.86,0008-0509,4/28/2019 7:55:14 PM,
QA-Cooler1-5April,Dev Site,Double,0,21.97,0573,4/28/2019 7:53:04 PM,
QA-Cooler2-5April,Dev Site,Double,7,6.27,0008-0486,4/28/2019 7:52:25 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.51,80152,4/28/2019 7:28:50 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.36,0008-0549,4/28/2019 7:26:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,7.1,0008-0509,4/28/2019 7:25:14 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.07,0573,4/28/2019 7:23:04 PM,
QA-Cooler2-5April,Dev Site,Double,7,6.17,0008-0486,4/28/2019 7:22:25 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.44,80152,4/28/2019 6:58:51 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.3,0008-0549,4/28/2019 6:56:45 PM,
QA-Cooler2-5April,Dev Site,Double,6,7.11,0008-0509,4/28/2019 6:55:15 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.01,0573,4/28/2019 6:53:04 PM,
QA-Cooler2-5April,Dev Site,Double,7,6.11,0008-0486,4/28/2019 6:52:25 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.93,0008-0486,4/28/2019 6:22:25 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.42,80152,4/28/2019 5:28:52 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.7,0008-0509,4/28/2019 5:25:15 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.58,0008-0486,4/28/2019 5:22:25 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.49,80152,4/28/2019 4:58:51 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.39,0008-0549,4/28/2019 4:56:46 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.57,0008-0509,4/28/2019 4:55:15 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.19,0573,4/28/2019 4:53:04 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.74,0008-0486,4/28/2019 4:52:25 PM,
QA-Cooler3-5April,Dev Site,Double,0,22.42,80152,4/28/2019 4:28:52 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.39,0008-0549,4/28/2019 4:26:45 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.52,0008-0509,4/28/2019 4:25:15 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.22,0573,4/28/2019 4:23:04 PM,
QA-Cooler2-5April,Dev Site,Double,8,5.92,0008-0486,4/28/2019 4:22:26 PM,
QA-Cooler3-5April,Dev Site,Double,1,22.67,80152,4/28/2019 3:58:51 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.62,0008-0549,4/28/2019 3:56:45 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.59,0008-0509,4/28/2019 3:55:15 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.34,0573,4/28/2019 3:53:04 PM,
QA-Cooler2-5April,Dev Site,Double,7,6.09,0008-0486,4/28/2019 3:52:26 PM,
QA-Cooler3-5April,Dev Site,Double,1,22.69,80152,4/28/2019 3:28:52 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.55,0008-0549,4/28/2019 3:26:46 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.93,0008-0509,4/28/2019 3:25:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.19,0573,4/28/2019 3:23:04 PM,
QA-Cooler2-5April,Dev Site,Double,7,6.35,0008-0486,4/28/2019 3:22:26 PM,
QA-Cooler3-5April,Dev Site,Double,4,22.62,80152,4/28/2019 2:58:52 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.49,0008-0549,4/28/2019 2:56:45 PM,
QA-Cooler2-5April,Dev Site,Double,6,7.17,0008-0509,4/28/2019 2:55:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.16,0573,4/28/2019 2:53:05 PM,
QA-Cooler2-5April,Dev Site,Double,7,6.19,0008-0486,4/28/2019 2:52:26 PM,
QA-Cooler3-5April,Dev Site,Double,5,22.61,80152,4/28/2019 2:28:52 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.48,0008-0549,4/28/2019 2:26:46 PM,
QA-Cooler2-5April,Dev Site,Double,6,7.12,0008-0509,4/28/2019 2:25:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.2,0573,4/28/2019 2:23:05 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.94,0008-0486,4/28/2019 2:22:27 PM,
QA-Cooler3-5April,Dev Site,Double,7,22.55,80152,4/28/2019 1:58:52 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.46,0008-0549,4/28/2019 1:56:46 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.88,0008-0509,4/28/2019 1:55:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.16,0573,4/28/2019 1:53:05 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.68,0008-0486,4/28/2019 1:52:27 PM,
QA-Cooler3-5April,Dev Site,Double,10,22.56,80152,4/28/2019 1:28:52 PM,
QA-Cooler1-5April,Dev Site,Double,1,22.52,0008-0549,4/28/2019 1:26:46 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.7,0008-0509,4/28/2019 1:25:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.24,0573,4/28/2019 1:23:05 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.67,0008-0486,4/28/2019 1:22:26 PM,
QA-Cooler3-5April,Dev Site,Double,11,22.58,80152,4/28/2019 12:58:53 PM,
QA-Cooler1-5April,Dev Site,Double,1,22.51,0008-0549,4/28/2019 12:56:47 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.55,0008-0509,4/28/2019 12:55:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.23,0573,4/28/2019 12:53:06 PM,
QA-Cooler2-5April,Dev Site,Double,7,5.9,0008-0486,4/28/2019 12:52:26 PM,
QA-Cooler3-5April,Dev Site,Double,11,22.59,80152,4/28/2019 12:28:53 PM,
QA-Cooler1-5April,Dev Site,Double,2,22.49,0008-0549,4/28/2019 12:26:47 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.66,0008-0509,4/28/2019 12:25:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,22.14,0573,4/28/2019 12:23:06 PM,
QA-Cooler2-5April,Dev Site,Double,8,6.27,0008-0486,4/28/2019 12:22:26 PM,
QA-Cooler3-5April,Dev Site,Double,12,22.52,80152,4/28/2019 11:58:53 AM,
QA-Cooler1-5April,Dev Site,Double,2,22.48,0008-0549,4/28/2019 11:56:46 AM,
QA-Cooler2-5April,Dev Site,Double,7,7.03,0008-0509,4/28/2019 11:55:17 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.2,0573,4/28/2019 11:53:05 AM,
QA-Cooler2-5April,Dev Site,Double,7,6.41,0008-0486,4/28/2019 11:52:26 AM,
QA-Cooler3-5April,Dev Site,Double,12,22.56,80152,4/28/2019 11:28:53 AM,
QA-Cooler1-5April,Dev Site,Double,2,22.39,0008-0549,4/28/2019 11:26:47 AM,
QA-Cooler2-5April,Dev Site,Double,6,7.12,0008-0509,4/28/2019 11:25:16 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.05,0573,4/28/2019 11:23:06 AM,
QA-Cooler2-5April,Dev Site,Double,8,6.23,0008-0486,4/28/2019 11:22:27 AM,
QA-Cooler3-5April,Dev Site,Double,10,22.46,80152,4/28/2019 10:58:54 AM,
QA-Cooler1-5April,Dev Site,Double,1,22.3,0008-0549,4/28/2019 10:56:47 AM,
QA-Cooler2-5April,Dev Site,Double,6,7.18,0008-0509,4/28/2019 10:55:16 AM,
QA-Cooler1-5April,Dev Site,Double,0,22,0573,4/28/2019 10:53:06 AM,
QA-Cooler2-5April,Dev Site,Double,8,6.04,0008-0486,4/28/2019 10:52:28 AM,
QA-Cooler3-5April,Dev Site,Double,9,22.4,80152,4/28/2019 10:28:54 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.32,0008-0549,4/28/2019 10:26:47 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.99,0008-0509,4/28/2019 10:25:16 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.08,0573,4/28/2019 10:23:06 AM,
QA-Cooler2-5April,Dev Site,Double,7,5.81,0008-0486,4/28/2019 10:22:27 AM,
QA-Cooler3-5April,Dev Site,Double,8,22.38,80152,4/28/2019 9:58:54 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.35,0008-0549,4/28/2019 9:56:47 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.76,0008-0509,4/28/2019 9:55:16 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.17,0573,4/28/2019 9:53:06 AM,
QA-Cooler2-5April,Dev Site,Double,8,5.68,0008-0486,4/28/2019 9:52:27 AM,
QA-Cooler3-5April,Dev Site,Double,7,22.4,80152,4/28/2019 9:28:54 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.33,0008-0549,4/28/2019 9:26:47 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.63,0008-0509,4/28/2019 9:25:16 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.12,0573,4/28/2019 9:23:06 AM,
QA-Cooler2-5April,Dev Site,Double,7,5.76,0008-0486,4/28/2019 9:22:27 AM,
QA-Cooler3-5April,Dev Site,Double,5,22.4,80152,4/28/2019 8:58:54 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.28,0008-0549,4/28/2019 8:56:47 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.52,0008-0509,4/28/2019 8:55:17 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.02,0573,4/28/2019 8:53:06 AM,
QA-Cooler2-5April,Dev Site,Double,8,5.9,0008-0486,4/28/2019 8:52:28 AM,
QA-Cooler3-5April,Dev Site,Double,5,22.35,80152,4/28/2019 8:28:54 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.24,0008-0549,4/28/2019 8:26:48 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.55,0008-0509,4/28/2019 8:25:17 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.95,0573,4/28/2019 8:23:07 AM,
QA-Cooler2-5April,Dev Site,Double,7,6.17,0008-0486,4/28/2019 8:22:28 AM,
QA-Cooler3-5April,Dev Site,Double,2,22.28,80152,4/28/2019 7:58:54 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.17,0008-0549,4/28/2019 7:56:48 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.74,0008-0509,4/28/2019 7:55:17 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.89,0573,4/28/2019 7:53:07 AM,
QA-Cooler2-5April,Dev Site,Double,7,6.3,0008-0486,4/28/2019 7:52:28 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.24,80152,4/28/2019 7:28:54 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.12,0008-0549,4/28/2019 7:26:48 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.97,0008-0509,4/28/2019 7:25:17 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.86,0573,4/28/2019 7:23:07 AM,
QA-Cooler2-5April,Dev Site,Double,7,6.3,0008-0486,4/28/2019 7:22:28 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.18,80152,4/28/2019 6:58:54 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.08,0008-0549,4/28/2019 6:56:48 AM,
QA-Cooler2-5April,Dev Site,Double,6,7.11,0008-0509,4/28/2019 6:55:18 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.89,0573,4/28/2019 6:53:07 AM,
QA-Cooler2-5April,Dev Site,Double,8,5.99,0008-0486,4/28/2019 6:52:28 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.2,80152,4/28/2019 6:28:54 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.03,0008-0549,4/28/2019 6:26:48 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.96,0008-0509,4/28/2019 6:25:18 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.77,0573,4/28/2019 6:23:07 AM,
QA-Cooler2-5April,Dev Site,Double,7,5.78,0008-0486,4/28/2019 6:22:28 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.17,80152,4/28/2019 5:58:55 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.08,0008-0549,4/28/2019 5:56:49 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.72,0008-0509,4/28/2019 5:55:18 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.87,0573,4/28/2019 5:53:08 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.16,80152,4/28/2019 5:28:55 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.11,0008-0549,4/28/2019 5:26:48 AM,
QA-Cooler2-5April,Dev Site,Double,6,6.57,0008-0509,4/28/2019 5:25:18 AM,
QA-Cooler1-5April,Dev Site,Double,0,21.89,0573,4/28/2019 5:23:08 AM,
QA-Cooler2-5April,Dev Site,Double,7,5.64,0008-0486,4/28/2019 5:22:28 AM,
QA-Cooler3-5April,Dev Site,Double,0,22.21,80152,4/28/2019 4:28:55 AM,
QA-Cooler1-5April,Dev Site,Double,0,22.11,0008-0549,4/28/2019 4:26:48 AM,
